metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
snmp.ifInErrors,count,,packet,,[Generic router] [Cisco c3850] [Cisco Nexus][Cisco ASA 5525] [F5 BIG-IP] The number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.,0,cisco,
snmp.ifOperStatus,gauge,,,,[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] The current operational state of the interface.,0,cisco,
snmp.ifOutDiscards,count,,packet,,[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] The number of outbound packets chosen to be discarded even though no errors had been detected to prevent them being transmitted.,0,cisco,
snmp.ifOutErrors,count,,packet,,[Generic router] [F5 BIG-IP] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] The number of outbound packets that could not be transmitted because of errors.,0,cisco,
snmp.ipIfStatsHCInBcastPkts,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP broadcast datagrams received.,0,cisco,
snmp.ipIfStatsHCInDelivers,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of datagrams successfully delivered to IP user-protocols (including ICMP).,0,cisco,
snmp.ipIfStatsHCInForwDatagrams,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of input datagrams for which this entity was not their final IP destination and for which this entity attempted to find a route to forward them to that final destination.,0,cisco,
snmp.ipIfStatsHCInMcastOctets,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of octets received in IP multicast datagrams.,0,cisco,
snmp.ipIfStatsHCInMcastPkts,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP multicast datagrams received.,0,cisco,
snmp.ipIfStatsHCInOctets,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of octets received in input IP datagrams including those received in error.,0,cisco,
snmp.ipIfStatsHCOutBcastPkts,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP broadcast datagrams transmitted.,0,cisco,
snmp.ipIfStatsHCOutForwDatagrams,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of datagrams for which this entity was not their final IP destination and for which it was successful in finding a path to their final destination.,0,cisco,
snmp.ipIfStatsHCOutMcastOctets,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of octets transmitted in IP multicast datagrams.,0,cisco,
snmp.ipIfStatsHCOutMcastPkts,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP multicast datagrams received.,0,cisco,
snmp.ipIfStatsHCOutOctets,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of octets in IP datagrams delivered to the lower layers for transmission.,0,cisco,
snmp.ipIfStatsHCOutRequests,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of IP datagrams that local IP user-protocols (including ICMP) supplied to IP in requests for transmission.,0,cisco,
snmp.ipIfStatsHCOutTransmits,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of IP datagrams that this entity supplied to the lower layers for transmission.,0,cisco,
snmp.ipIfStatsInAddrErrors,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of input IP datagrams discarded because the IP address in their IP header's destination field was not a valid address to be received at this entity.,0,cisco,
snmp.ipIfStatsInDiscards,count,,datagram,,"[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of input IP datagrams for which no problems were encountered to prevent their continued processing, but were discarded due to other reasons, for example lack of buffer space.",0,cisco,
snmp.ipIfStatsInHdrErrors,count,,datagram,,"[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of input IP datagrams discarded due to errors in their IP headers including version number mismatch, other format errors, hop count exceeded, errors discovered in processing their IP options, etc.",0,cisco,
snmp.ipIfStatsInNoRoutes,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of input IP datagrams discarded because no route could be found to transmit them to their destination.,0,cisco,
snmp.ipIfStatsInTruncatedPkts,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of input IP datagrams discarded because the datagram frame didn't carry enough data.,0,cisco,
snmp.ipIfStatsInUnknownProtos,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of locally-addressed IP datagrams received successfully but discarded because of an unknown or unsupported protocol.,0,cisco,
snmp.ipIfStatsOutDiscards,count,,datagram,,"[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of output IP datagrams for which no problem was encountered to prevent their transmission to their destination, but were discarded due to other reasons, for example lack of buffer space.",0,cisco,
snmp.ipIfStatsOutFragCreates,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of output datagram fragments generated as a result of IP fragmentation.,0,cisco,
snmp.ipIfStatsOutFragFails,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP datagrams discarded because they needed to be fragmented but could not be.,0,cisco,
snmp.ipIfStatsOutFragOKs,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP datagrams successfully fragmented.,0,cisco,
snmp.ipIfStatsOutFragReqds,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP datagrams requiring fragmentation to be transmitted.,0,cisco,
snmp.ipIfStatsReasmFails,count,,,,"[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of failures detected by the IP reassembly algorithm (for whatever reason: timed out, errors, etc.).",0,cisco,
snmp.ipIfStatsReasmOKs,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP datagrams successfully reassembled.,0,cisco,
snmp.ipIfStatsReasmReqds,count,,,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP fragments received that needed to be reassembled at this interface.,0,cisco,
snmp.ipSystemStatsHCInBcastPkts,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP broadcast datagrams received.,0,cisco,
snmp.ipSystemStatsHCInDelivers,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of datagrams successfully delivered to IP user-protocols (including ICMP).,0,cisco,
snmp.ipSystemStatsHCInForwDatagrams,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of input datagrams for which this entity was not their final IP destination and for which this entity attempted to find a route to forward them to that final destination.,0,cisco,
snmp.ipSystemStatsHCInMcastOctets,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of octets received in IP multicast datagrams.,0,cisco,
snmp.ipSystemStatsHCInMcastPkts,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP multicast datagrams received.,0,cisco,
snmp.ipSystemStatsHCInOctets,count,,,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of octets received in input IP datagrams including those received in error.,0,cisco,
snmp.ipSystemStatsHCInReceives,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of input IP datagrams received including those received in error.,0,cisco,
snmp.ipSystemStatsHCOutBcastPkts,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP broadcast datagrams transmitted.,0,cisco,
snmp.ipSystemStatsHCOutForwDatagrams,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of datagrams for which this entity was not their final IP destination and for which it was successful in finding a path to their final destination.,0,cisco,
snmp.ipSystemStatsHCOutMcastOctets,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of octets transmitted in IP multicast datagrams.,0,cisco,
snmp.ipSystemStatsHCOutMcastPkts,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP multicast datagrams transmitted.,0,cisco,
snmp.ipSystemStatsHCOutOctets,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of octets in IP datagrams delivered to the lower layers for transmission.,0,cisco,
snmp.ipSystemStatsHCOutRequests,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of IP datagrams that local IP user-protocols (including ICMP) supplied to IP in requests for transmission.,0,cisco,
snmp.ipSystemStatsHCOutTransmits,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of IP datagrams that this entity supplied to the lower layers for transmission.,0,cisco,
snmp.ipSystemStatsInAddrErrors,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of input IP datagrams discarded because the IP address in the header's destination field was not a valid address to be received at this entity.,0,cisco,
snmp.ipSystemStatsInDiscards,count,,datagram,,"[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of input IP datagrams for which no problems were encountered to prevent their continued processing, but were discarded due to other reasons, for example lack of buffer space.",0,cisco,
snmp.ipSystemStatsInHdrErrors,count,,datagram,,"[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of input IP datagrams discarded due to errors in their IP headers including version number mismatch, their IP headers, other format errors, hop count exceeded, errors discovered in processing their IP options, etc.",0,cisco,
snmp.ipSystemStatsInNoRoutes,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of input IP datagrams discarded because no route could be found to transmit them to their destination.,0,cisco,
snmp.ipSystemStatsInTruncatedPkts,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of input IP datagrams discarded because the datagram frame didn't carry enough data.,0,cisco,
snmp.ipSystemStatsInUnknownProtos,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of locally-addressed IP datagrams received successfully but discarded because of an unknown or unsupported protocol.,0,cisco,
snmp.ipSystemStatsOutDiscards,count,,datagram,,"[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of output IP datagrams for which no problem was encountered to prevent their transmission to their destination, but were discarded due to other reasons, for example lack of buffer space.",0,cisco,
snmp.ipSystemStatsOutFragCreates,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of output datagram fragments generated as a result of IP fragmentation.,0,cisco,
snmp.ipSystemStatsOutFragFails,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP datagrams discarded because they needed to be fragmented but could not be.,0,cisco,
snmp.ipSystemStatsOutFragOKs,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP datagrams successfully fragmented.,0,cisco,
snmp.ipSystemStatsOutFragReqds,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP datagrams that would require fragmentation to be transmitted.,0,cisco,
snmp.ipSystemStatsOutNoRoutes,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of locally generated IP datagrams discarded because no route could be found to transmit them to their destination.,0,cisco,
snmp.ipSystemStatsReasmFails,count,,,,"[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of failures detected by the IP reassembly algorithm (for whatever reason: timed out, errors, etc.).",0,cisco,
snmp.ipSystemStatsReasmOKs,count,,datagram,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP datagrams successfully reassembled.,0,cisco,
snmp.ipSystemStatsReasmReqds,count,,,,[Generic router] [Arista] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of IP fragments received that needed to be reassembled at this interface.,0,cisco,
snmp.tcpActiveOpens,count,,,,[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Arista] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of times that TCP connections have made a direct transition to the SYN-SENT state from the CLOSED state.,0,cisco,
snmp.tcpAttemptFails,count,,,,"[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Arista] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of times that TCP connections have made a direct transition to the CLOSED state from either the SYN-SENT state or the SYN-RCVD state, or to the LISTEN state from the SYN-RCVD state.",0,cisco,
snmp.tcpCurrEstab,gauge,,,,[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Arista] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of TCP connections for which the current state is either ESTABLISHED or CLOSE-WAIT.,0,cisco,
snmp.tcpEstabResets,count,,,,[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Arista] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of times that TCP connections have made a direct transition to the CLOSED state from either the ESTABLISHED state or the CLOSE-WAIT state.,0,cisco,
snmp.tcpHCInSegs,count,,segment,,"[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Arista] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of segments received, including those received in error.",0,cisco,
snmp.tcpHCOutSegs,count,,segment,,"[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Arista] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of segments sent, including those on current connections but excluding those containing only retransmitted octets.",0,cisco,
snmp.tcpInErrs,count,,segment,,"[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Arista] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of segments received in error (e.g., bad TCP checksums).",0,cisco,
snmp.tcpOutRsts,count,,segment,,[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Arista] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of TCP segments sent containing the RST flag.,0,cisco,
snmp.tcpPassiveOpens,count,,connection,,[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Arista] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of times TCP connections have made a direct transition to the SYN-RCVD state from the LISTEN state.,0,cisco,
snmp.tcpRetransSegs,count,,segment,,"[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Arista] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of segments retransmitted; that is, the number of TCP segments transmitted containing one or more previously transmitted octets.",0,cisco,
snmp.udpHCInDatagrams,count,,datagram,,"[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Arista] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of UDP datagrams delivered to UDP users, for devices that can receive more than 1 million UDP datagrams per second.",0,cisco,
snmp.udpHCOutDatagrams,count,,datagram,,"[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Arista] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The total number of UDP datagrams sent from this entity, for devices that can transmit more than 1 million UDP datagrams per second.",0,cisco,
snmp.udpInErrors,count,,datagram,,[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Arista] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto] [Dell Poweredge] The number of received UDP datagrams that could not be delivered for reasons other than the lack of an application at the destination port.,0,cisco,
snmp.udpNoPorts,count,,datagram,,[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Arista] [Checkpoint Firewall] [F5 BIG-IP] [HPE Proliant] [Palo Alto]  [Dell Poweredge] The total number of received UDP datagrams for which there was no application at the destination port.,0,cisco,
snmp.ospfNbrState,count,,,,[Arista] [Aruba] [Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] [Palo Alto] [F5 BIG-IP] The state of the relationship with this neighbor.,0,cisco,
